parse_date	provider	provider_id	name	price	original_price	hidden_price	URL
2021-10-06 04:02:00	bol	9200000101599226	Philips ProtectiveClean 6100 HX6877/28 - Elektrische tandenborstel	108.0			https://bol.com/nl/nl/p/philips-protectiveclean-6100-hx6877-28-elektrische-tandenborstel/9200000101599226/
2021-10-06 04:02:00	bol	9200000032282760	Philips Sonicare 2-serie HX6231/01 - Elektrische tandenborstel	39.99			https://bol.com/nl/nl/p/philips-sonicare-2-serie-hx6231-01-elektrische-tandenborstel/9200000032282760/
2021-10-06 04:02:00	bol	9200000079522241	Philips Sonicare DiamondClean Smart HX9954/53 - Elektrische tandenborstel	228.99			https://bol.com/nl/nl/p/philips-sonicare-diamondclean-smart-hx9954-53-elektrische-tandenborstel/9200000079522241/
2021-10-06 04:02:00	bol	9200000078342768	Philips Sonicare HX6232/41 - Elektrische Tandenborstel	68.2			https://bol.com/nl/nl/p/philips-sonicare-hx6232-41-elektrische-tandenborstel/9200000078342768/
2021-10-06 04:02:00	bol	9200000077940153	Philips Sonicare for kids HX6322/04 - Elektrische Tandenborstel - Blauw - incl. extra opzetborstel	39.95			https://bol.com/nl/nl/p/philips-sonicare-for-kids-hx6322-04-elektrische-tandenborstel-blauw-incl-extra-opzetborstel/9200000077940153/
2021-10-06 04:02:00	bol	9200000079522243	Philips Sonicare DiamondClean Smart HX9924/13 - Elektrische tandenborstel - Zwart	209.0			https://bol.com/nl/nl/p/philips-sonicare-diamondclean-smart-hx9924-13-elektrische-tandenborstel-zwart/9200000079522243/
2021-10-06 04:02:00	bol	9200000073431961	BRITA Maxtra Filterpatronen - 4 stuks	27.95			https://bol.com/nl/nl/p/brita-maxtra-filterpatronen-4-stuks/9200000073431961/
2021-10-06 04:02:00	bol	9200000073431957	BRITA fill&enjoy Aluna Cool Waterfilterkan - White	24.91			https://bol.com/nl/nl/p/brita-fill-enjoy-aluna-cool-waterfilterkan-white/9200000073431957/
2021-10-06 04:02:00	bol	9200000075451764	BRITA fill&enjoy Marella Cool White Promopack	29.95			https://bol.com/nl/nl/p/brita-fill-enjoy-marella-cool-white-promopack/9200000075451764/
2021-10-06 04:02:00	bol	9200000125522845	Little Dutch Pluche Knuffelpop Sophia 35cm	19.95			https://bol.com/nl/nl/p/little-dutch-pluche-knuffelpop-sophia-35cm/9200000125522845/
2021-10-06 04:02:00	bol	9300000009222301	Houten Rollerbaan Cars Little Dutch	24.95			https://bol.com/nl/nl/p/houten-rollerbaan-cars-little-dutch/9300000009222301/
2021-10-06 04:02:00	bol	9200000106238335	Little Dutch Houten Gereedschapskist	17.95			https://bol.com/nl/nl/p/little-dutch-houten-gereedschapskist/9200000106238335/
2021-10-06 04:02:00	bol	9300000009222307	Little Dutch Tuimelstapelaar Wild Flowers	14.95			https://bol.com/nl/nl/p/little-dutch-tuimelstapelaar-wild-flowers/9300000009222307/
2021-10-06 04:02:00	bol	9200000103300721	Little Dutch Houten Vormenpuzzel - Dierentuin	9.95			https://bol.com/nl/nl/p/little-dutch-houten-vormenpuzzel-dierentuin/9200000103300721/
2021-10-06 04:02:00	bol	9300000009222273	Little Dutch Bouwblokken pink	21.95			https://bol.com/nl/nl/p/little-dutch-bouwblokken-pink/9300000009222273/
2021-10-06 04:02:00	bol	9300000009216449	Little Dutch Houten Theeservies	24.95			https://bol.com/nl/nl/p/little-dutch-houten-theeservies/9300000009216449/
2021-10-06 04:02:00	bol	9200000125522695	Little Dutch Pure & Nature Houten Regenboog Telraam	12.75			https://bol.com/nl/nl/p/little-dutch-pure-nature-houten-regenboog-telraam/9200000125522695/
2021-10-06 04:02:00	bol	9300000009222316	Little Dutch Little Goose - Knuffeldoekje pluche	11.96			https://bol.com/nl/nl/p/little-dutch-little-goose-knuffeldoekje-pluche/9300000009222316/
2021-10-06 04:02:00	bol	9200000125522715	Little Dutch Activiteitenkubus - Oceaan - Roze	12.95			https://bol.com/nl/nl/p/little-dutch-activiteitenkubus-oceaan-roze/9200000125522715/
2021-10-06 04:02:00	bol	9200000125522811	Little Dutch Memorybox - Baby Geschenkset	23.69			https://bol.com/nl/nl/p/little-dutch-memorybox-baby-geschenkset/9200000125522811/
2021-10-06 04:02:00	bol	9300000009222261	Little Dutch Houten Arc Van Noah	36.95			https://bol.com/nl/nl/p/little-dutch-houten-arc-van-noah/9300000009222261/
2021-10-06 04:02:00	bol	9200000128068363	Little Dutch Pluche Babypop Rosa	34.39			https://bol.com/nl/nl/p/little-dutch-pluche-babypop-rosa/9200000128068363/
2021-10-06 04:02:00	bol	9200000104894565	Little Dutch Poppenbuggy	36.95			https://bol.com/nl/nl/p/little-dutch-poppenbuggy/9200000104894565/
